main_author_orcid,openalex_id,title,publication_year,publication_date,doi,type,cited_by_count,journal,topics,co_authors,co_author_orcids,num_co_authors,abstract,keywords
0000-0002-2950-0864,W1976366395,On Action Logic: Equational Theories of Action Algebras,2006.0,2006-08-23,https://doi.org/10.1093/logcom/exl036,article,37,Journal of Logic and Computation,"Advanced Algebra and Logic; Logic, Reasoning, and Knowledge; Logic, programming, and type systems",,,0,"Journal Article On Action Logic: Equational Theories of Action Algebras Get access Wojciech Buszkowski Wojciech Buszkowski Faculty of Mathematics and Computer Science, Adam Mickiewicz University, Poznań, Poland. E-mail: buszko@amu.edu.pl Search for other works by this author on: Oxford Academic Google Scholar Journal of Logic and Computation, Volume 17, Issue 1, February 2007, Pages 199–217, https://doi.org/10.1093/logcom/exl036 Published: 30 October 2006 Article history Received: 12 December 2005 Published: 30 October 2006",Action (physics); Computer science; Mathematical logic; Equational logic; Mathematics; Programming language; Physics; Rewriting
0000-0002-2950-0864,W1996712532,Interpolation and FEP for logics of residuated algebras,2010.0,2010-01-17,https://doi.org/10.1093/jigpal/jzp094,article,36,Logic Journal of IGPL,"Logic, programming, and type systems; Advanced Algebra and Logic; Formal Methods in Verification",,,0,"A residuated algebra (RA) is a generalization of a residuated groupoid; instead of one basic binary operation · with residual operations \\, /, it ad-mits finitely many basic operations, and each n−ary basic operation is associated with n residual operations. A logical system for RAs was stud-ied in e.g. [6, 8, 16, 15] under the name: Generalized Lambek Calculus GL. In this paper we study GL and its extensions in the form of sequent systems. We prove an interpolation property which allows to replace a substructure of the antecedent structure by a single formula in a provable sequent. Together with model constructions, based on nuclei [13], inter-polation leads to proofs of Finite Embeddability Property for different classes of RAs, as e.g. all RAs, distributive lattice-ordered RAs, boolean RAs, Heyting RAs and double RAs. 1",Interpolation (computer graphics); Mathematics; Computer science; Artificial intelligence
0000-0002-2950-0864,W2549671079,On Classical Nonassociative Lambek Calculus,2016.0,2016-01-01,https://doi.org/10.1007/978-3-662-53826-5_5,book-chapter,13,Lecture notes in computer science,"Logic, programming, and type systems; Logic, Reasoning, and Knowledge; semigroups and automata theory",,,0,"Abstract CNL, intoduced by de Groote and Lamarche [11], is a conservative extension of Nonassociative Lambek Calculus (NL) by a De Morgan negation $$^{\sim }$$ <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""> <mml:msup> <mml:mrow/> <mml:mo>∼</mml:mo> </mml:msup> </mml:math> , satisfying $$A^{\sim }/B\Leftrightarrow A\backslash B^{\sim }$$ <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""> <mml:mrow> <mml:msup> <mml:mi>A</mml:mi> <mml:mo>∼</mml:mo> </mml:msup> <mml:mrow> <mml:mo>/</mml:mo> <mml:mi>B</mml:mi> <mml:mo>⇔</mml:mo> <mml:mi>A</mml:mi> <mml:mo>\</mml:mo> </mml:mrow> <mml:msup> <mml:mi>B</mml:mi> <mml:mo>∼</mml:mo> </mml:msup> </mml:mrow> </mml:math> . [11] provides a fine theory of proof nets for CNL and shows cut elimination and polynomial decidability. Here the purely proof-theoretic approach of [11] is enriched with algebras and phase spaces for CNL. We prove that CNL is a strongly conservative extension of NL, CNL has the strong finite model property, the grammars based on CNL (also with assumptions) generate the context-free languages, and the finitary consequence relation for CNL is decidable in polynomial time.",Algorithm; Decidability; Computer science; Context (archaeology); Artificial intelligence; Archaeology
0000-0002-2950-0864,W2793576694,Lambeck calculus and substructural logics,2010.0,2010-01-01,,article,7,Linguistic Analysis,"Advanced Algebra and Logic; Logic, Reasoning, and Knowledge; Logic, programming, and type systems",,,0,"To keep this paper in a reasonable size, I omit many interesting topics, e.g. Curry-Howard isomorphism, Abstract Categorial Grammars (an explicit application of the typed lambda-calculus as a grammar formalism, due to de Groote (2001)), proof nets (a graph-theoretic representation of proofs in multiplicative linear logics), modal categorial grammars, combinatory grammars, and learning theory. For some information on these topics see survey articles (Moortgat, 1997; Buszkowski, 1977, 2003b); also see the books cited above, the collection (Casadio et al, 2005), and two special issues of Studia Logica: 71.3 (2002) and 87.2-3 (2007).

Section 2 presents different Lambek systems and their algebraic models. It also provides some basic linguistic interpretations of type logics. Section 3 introduces sequent systems of type logics, discusses cut elimination and its consequences, and shows some applications of sequent systems in proofs of fine completeness theorems. Section 4 is concerned with categorial grammars, based on different type logics; we show how certain proof-theoretic tools (cut elimination, normalization, interpolation) are used to establish basic properties of Lambek systems and grammars (decidability, generative capacity, complexity). Section 5 briefly outlines some ways in the opposite direction: some results on Lambek systems and grammars help to solve problems in substructural logics.",Cut-elimination theorem; Categorial grammar; Sequent calculus; Combinatory categorial grammar; Sequent; Rule-based machine translation; Mathematics; Algebra over a field; Mathematical proof; Decidability; Type theory; Calculus (dental); Discrete mathematics; Computer science; Tree-adjoining grammar; Generative grammar; Mildly context-sensitive grammar formalism; Type (biology); Pure mathematics; Artificial intelligence; Context-free grammar; Emergent grammar
0000-0002-2950-0864,W79238972,Categorial Grammars with Negative Information,1996.0,1996-03-04,https://doi.org/10.1515/9783110876802.107,book-chapter,17,,Natural Language Processing Techniques; DNA and Biological Computing; semigroups and automata theory,,,0,"this paper we discuss some possibilities of introducing negative information in the formalism of categorial grammar. Traditionally, formal grammars, including categorial grammars, admit positive information only. For instance, one postulates the rule S)NP,VP but not \\GammaS)NP,\\GammaVP; here \\GammaA stands for the negation (complement) of category A.",Rule-based machine translation; Computer science; Combinatory categorial grammar; Tree-adjoining grammar; Natural language processing; Artificial intelligence; Context-free grammar
0000-0002-2950-0864,W1522830053,Pregroups: Models and Grammars,2002.0,2002-01-01,https://doi.org/10.1007/3-540-36280-0_3,book-chapter,10,Lecture notes in computer science,"Advanced Algebra and Logic; Logic, Reasoning, and Knowledge; semigroups and automata theory",,,0,"Pregroups, introduced in Lambek [12], are a generalization of partially ordered groups. In [5], we have proven several theorems on pregroups and grammars based on the calculus of free pregroups, in particular, the weak equivalence of these grammars and context-free grammars. In the present paper, we obtain further results of that kind. We consider left and right pregroups, study concrete left and right pregroups consisting of monotone functions on a poset and of monotone relations on a poset, and adjust the equivalence theorem to grammars based on left (right) pregroups.",Rule-based machine translation; Equivalence (formal languages); Partially ordered set; Monotone polygon; Tree-adjoining grammar; Context-free grammar; Computer science; Generalization; Context-sensitive grammar; Embedded pushdown automaton; Deterministic context-free grammar; Discrete mathematics; Mathematics; Artificial intelligence
0000-0002-2950-0864,W1487804712,A representation theorem for co-diagonalizable algebras,2004.0,2004-01-01,,article,6,,Advanced Topics in Algebra; Advanced Algebra and Logic; Algebraic structures and combinatorial models,,,0,"A b s t r a c t. Tadeusz Prucnal [5] published a proof of the following representation theorem: for every atomic co-diagonalizable algebra D there exists an embedding h from D into the field of all subsets of a topological space X such that, for all a ∈ D, h(∆(a)) is the derivative of the set h(a). He presented this result on a conference in Poland in 1983 and left open the question of it could be generalized to all co-diagonizable algebras. It was my observation that some ideas of measure theory (extending a measure to a complete measure) could be applied to define an embedding of any co-diagonalizable algebra into an atomic co-diagonalizable algebra. Consequently, Prucnal’s representation theorem holds true for arbitrary co-diagonalizable algebras, which has been published in our common paper [3]. Two years later, I’ve published a short note [2] examining a more general situation of embeddability of modal structures into atomic modal structures. This paper surveys these results with modified proofs and additional comments.",Mathematics; Diagonalizable matrix; Representation theorem; Representation (politics); Pure mathematics; Algebra over a field; Eigenvalues and eigenvectors; Physics; Political science
0000-0002-2950-0864,W2908417177,On Involutive Nonassociative Lambek Calculus,2019.0,2019-01-03,https://doi.org/10.1007/s10849-018-09278-9,article,3,Journal of Logic Language and Information,"Logic, programming, and type systems; semigroups and automata theory; Advanced Algebra and Logic",,,0,"Involutive Nonassociative Lambek Calculus (InNL) is a nonassociative version of Noncommutative Multiplicative Linear Logic (MLL) (Abrusci in J Symb Log 56:1403–1451, 1991), but the multiplicative constants are not admitted. InNL adds two linear negations to Nonassociative Lambek Calculus (NL); it is a strongly conservative extension of NL (Buszkowski in Amblard, de Groote, Pogodalla, Retoré (eds) Logical aspects of computational linguistics. LNCS, vol 10054. Springer, Berlin, pp 68–84, 2016). Here we also add unary modalities satisfying the residuation law and De Morgan laws. For the resulting logic InNLm, we define and study phase spaces (some frame models, typical for linear logics). We use them to prove the cut elimination theorem for a one-sided sequent system for InNLm, introduced here. Phase spaces are also employed in studying auxiliary systems InNLm(k), assuming the k-cyclic law for negation. The latter behave similarly as Classical Nonassociative Lambek Calculus, studied in de Groote and Lamarche (Stud Log 71(3):355–388, 2002) and Buszkowski (2016). We reduce the provability in InNLm to that in InNLm(k). This yields the equivalence of type grammars based on InNLm with ( $$\epsilon $$ -free) context-free grammars and the PTIME complexity of InNLm.",Mathematics; Sequent calculus; Linear logic; Negation; Multiplicative function; Unary operation; Noncommutative geometry; Calculus (dental); Categorial grammar; Equivalence (formal languages); Conservative extension; Algebra over a field; Context (archaeology); Pure mathematics; Discrete mathematics; Linguistics; Generative grammar; Mathematical analysis
0000-0002-2950-0864,W2339182157,Syntactic Categories and Types: Ajdukiewicz and Modern Categorial Grammars,2016.0,2016-01-01,https://doi.org/10.1163/9789004311763_004,book-chapter,4,,"Natural Language Processing Techniques; Logic, programming, and type systems; Advanced Algebra and Logic",,,0,"This essay confronts Ajdukiewicz’s approach to syntactic categories with modern categorial grammars, mainly AB-grammars (basic categorial grammars) and Lambek grammars, i.e. categorial grammars based on different versions of the Lambek calculus. 1 Introduction and",Combinatory categorial grammar; Categorial grammar; Rule-based machine translation; Linguistics; Computer science; Natural language processing; Mathematics; Artificial intelligence; Tree-adjoining grammar; Mildly context-sensitive grammar formalism; Generative grammar; Philosophy; Phrase structure rules; Context-free grammar
0000-0002-2950-0864,W2100232191,Sequent systems for compact bilinear logic,2003.0,2003-07-03,https://doi.org/10.1002/malq.200310050,article,17,Mathematical logic quarterly,"Advanced Algebra and Logic; semigroups and automata theory; Logic, Reasoning, and Knowledge",,,0,"Abstract Compact Bilinear Logic (CBL), introduced by Lambek [14], arises from the multiplicative fragment of Noncommutative Linear Logic of Abrusci [1] (also called Bilinear Logic in [13]) by identifying times with par and 0 with 1. In this paper, we present two sequent systems for CBL and prove the cut‐elimination theorem for them. We also discuss a connection between cut‐elimination for CBL and the Switching Lemma from [14].",Mathematics; Sequent; Sequent calculus; Bilinear interpolation; Linear logic; Noncommutative geometry; Multiplicative function; Lemma (botany); Discrete mathematics; Cut-elimination theorem; Pure mathematics; Algebra over a field; Proof calculus; Mathematical analysis; Mathematical proof
