main_author_orcid,openalex_id,title,publication_year,publication_date,doi,type,cited_by_count,journal,topics,co_authors,co_author_orcids,num_co_authors,abstract,keywords
0000-0002-2950-0864,W2156703118,Completeness Results for Lambek Syntactic Calculus,1986,1986-01-01,https://doi.org/10.1002/malq.19860320104,article,98,Mathematical logic quarterly,"Advanced Algebra and Logic; Rough Sets and Fuzzy Logic; Logic, Reasoning, and Knowledge",,,0,,Completeness (order theory); Citation; Calculus (dental); Computer science; Artificial intelligence; Mathematics; Library science; Medicine
0000-0002-2950-0864,W2120017950,Compatibility of a Categorial Grammar With an Associated Category System,1982,1982-01-01,https://doi.org/10.1002/malq.19820281407,article,43,Mathematical logic quarterly,Advanced Algebra and Logic; semigroups and automata theory; Natural Language Processing Techniques,,,0,,Categorial grammar; Sentence; Notation; Mathematics; Linguistics; Combinatory categorial grammar; Grammar; Computer science; Artificial intelligence; Natural language processing; Phrase structure rules; Philosophy; Arithmetic; Link grammar; Mildly context-sensitive grammar formalism
0000-0002-2950-0864,W2023695988,Some Decision Problems in the Theory of Syntactic Categories,1982,1982-01-01,https://doi.org/10.1002/malq.19820283308,article,49,Mathematical logic quarterly,"Advanced Algebra and Logic; Logic, Reasoning, and Knowledge; Rough Sets and Fuzzy Logic",,,0,,Citation; Computer science; Information retrieval; Library science
0000-0002-2950-0864,W2090146470,The Equivalence of Unidirectional Lambek Categorial Grammars and Context‐Free Grammars,1985,1985-01-01,https://doi.org/10.1002/malq.19850312402,article,47,Mathematical logic quarterly,"semigroups and automata theory; Advanced Algebra and Logic; Logic, Reasoning, and Knowledge",,,0,,Rule-based machine translation; Equivalence (formal languages); Categorial grammar; Computer science; Context (archaeology); Tree-adjoining grammar; Indexed grammar; L-attributed grammar; Artificial intelligence; Natural language processing; Programming language; Mathematics; Context-free grammar; Discrete mathematics; History
0000-0002-2950-0864,W79238972,Categorial Grammars with Negative Information,1996,1996-03-04,https://doi.org/10.1515/9783110876802.107,book-chapter,17,,Natural Language Processing Techniques; DNA and Biological Computing; semigroups and automata theory,,,0,,Rule-based machine translation; Computer science; Combinatory categorial grammar; Tree-adjoining grammar; Natural language processing; Artificial intelligence; Context-free grammar
0000-0002-2950-0864,W1977671303,Algebraic structures in categorial grammar,1998,1998-06-01,https://doi.org/10.1016/s0304-3975(97)00266-1,article,12,Theoretical Computer Science,"Logic, programming, and type systems; semigroups and automata theory; Natural Language Processing Techniques",,,0,,Combinatory categorial grammar; Categorial grammar; Mildly context-sensitive grammar formalism; Mathematics; Link grammar; Grammar; Computer science; Programming language; Algebra over a field; Algebraic number; Linguistics; Head-driven phrase structure grammar; Emergent grammar; Pure mathematics; Philosophy
0000-0002-2950-0864,W2494344937,Three theories of categorial grammar,1988,1988-01-01,https://doi.org/10.1075/llsee.25.07bus,book-chapter,12,"Linguistic & literary studies in Eastern Europe, LLSEE","Syntax, Semantics, Linguistic Variation; Translation Studies and Practices; Linguistic Variation and Morphology",,,0,,Categorial grammar; Combinatory categorial grammar; Linguistics; Grammar; Mildly context-sensitive grammar formalism; Mathematics; Computer science; Natural language processing; Emergent grammar; Philosophy
0000-0002-2950-0864,W2141635030,On generative capacity of the Lambek calculus,1991,1991-01-01,https://doi.org/10.1007/bfb0018438,book-chapter,11,Lecture notes in computer science,"Logic, programming, and type systems; Computability, Logic, AI Algorithms; Logic, Reasoning, and Knowledge",,,0,,Computer science; Generative grammar; Calculus (dental); Generative model; Situation calculus; Artificial intelligence
0000-0002-2950-0864,W2081200269,Undecidability of some logical extensions of Ajdukiewicz-Lambek calculus,1978,1978-03-01,https://doi.org/10.1007/bf02123613,article,7,Studia Logica,"Logic, Reasoning, and Knowledge; Advanced Algebra and Logic; Logic, programming, and type systems",,,0,,Calculus (dental); Computational linguistics; Mathematics; Algebra over a field; Computer science; Linguistics; Philosophy; Pure mathematics; Artificial intelligence
0000-0002-2950-0864,W2014390237,Pregroup grammars with letter promotions: Complexity and context-freeness,2011,2011-12-23,https://doi.org/10.1016/j.jcss.2011.12.010,article,3,Journal of Computer and System Sciences,semigroups and automata theory; Algorithms and Data Compression; Natural Language Processing Techniques,Zhe Lin,0000-0002-3828-8754,1,,Rule-based machine translation; Combinatorics; Indexed grammar; Phrase structure grammar; Computer science; Context-free grammar; Discrete mathematics; Tree-adjoining grammar; Mathematics; Context-sensitive grammar; Time complexity; Context (archaeology); Embedded pushdown automaton; Artificial intelligence
0000-0002-2950-0864,W2756007075,Philosophy of language and logic,1995,1995-11-22,https://doi.org/10.1515/9783110139914.2.6.1603,book-chapter,3,,Classical Philosophy and Thought,,,0,,Linguistics; Computer science; Philosophy; Programming language
0000-0002-2950-0864,W2908028853,New Frontiers in Scientific Discovery. Commemorating the Life and Work of Zdzislaw Pawlak,2007,2007-01-01,,article,3,,Central European Literary Studies; Language and Culture; Educational Philosophies and Pedagogies,Ewa Orłowska; Andrzej Skowron; Philippe Balbiani; Fabio Bernardini; Robert Brijder; Manash Chakraborty; M. Ionescu; Paul J. Doherty; Andrzej Szałas; Henri Prade; Ivo Düntsch; Marcin Dziubiński; Rineke Verbrugge; Ryszard Janicki; Janne Järvinen; Adam Mazurkiewicz; Mikhail Moshkov; Beata Zielosko; Michal Novotný; Lech Polkowski,0000-0002-7931-2351; 0000-0002-5271-6559; 0000-0002-3569-9160; 0000-0002-4794-5963; 0000-0002-8912-1735; 0000-0003-3526-5116; 0000-0001-5335-3465; 0000-0001-6861-7785; 0000-0002-6000-6581; 0000-0003-4586-8527; 0000-0001-8907-2382; 0000-0003-1756-2424; 0000-0003-3829-0106; 0000-0001-5364-9725; 0000-0002-2000-6552; 0000-0002-2886-0040; 0000-0003-0085-9483; 0000-0003-3788-1094; 0000-0002-9994-1024; 0000-0002-6990-3959,20,,Scientific discovery; Work (physics); Epistemology; Philosophy; Engineering; Psychology; Cognitive science
0000-0002-2950-0864,W1982759748,Embedding Boolean Structures into Atomic Boolean Structures,1986,1986-01-01,https://doi.org/10.1002/malq.19860321307,article,2,Mathematical logic quarterly,"Advanced Algebra and Logic; semigroups and automata theory; Logic, Reasoning, and Knowledge",,,0,,Embedding; Citation; Computer science; Arithmetic; Discrete mathematics; Theoretical computer science; Information retrieval; Mathematics; Artificial intelligence; Library science
0000-0002-2950-0864,W4236308970,Editorial Introduction,2002,2002-08-01,https://doi.org/10.1023/a:1020555012290,article,4,Studia Logica,,Michael Moortgat,0000-0003-3568-9920,1,,Computational linguistics; Mathematics; Computer science; Linguistics; Natural language processing; Philosophy
0000-0002-2950-0864,W1979905360,Logical Complexity of Some Classes of Tree Languages Generated by Multiple‐Tree‐Automata,1980,1980-01-01,https://doi.org/10.1002/malq.19800260105,article,1,Mathematical logic quarterly,"semigroups and automata theory; Computability, Logic, AI Algorithms; Advanced Algebra and Logic",,,0,,Decidability; Monadic predicate calculus; Order (exchange); Countable set; Successor cardinal; Tree automaton; Mathematics; Discrete mathematics; Automaton; Computer science; Tree (set theory); Combinatorics; Artificial intelligence; Description logic
0000-0002-2950-0864,W2502903809,2. A formal approach to error taxonomy,1991,1991-01-01,https://doi.org/10.1075/z.51.05bus,book-chapter,1,John Benjamins Publishing Company eBooks,Natural Language Processing Techniques,,,0,,Taxonomy (biology); Computer science; Ecology; Biology
0000-0002-2950-0864,W4206138890,Editorial Introduction,2007,2007-11-15,https://doi.org/10.1007/s11225-007-9082-5,article,1,Studia Logica,,,,0,,Computational linguistics; Computer science; Linguistics; Natural language processing; Philosophy
0000-0002-2950-0864,W4206166129,A formal approach to error taxonomy,1986,1986-01-01,https://doi.org/10.1075/llsee.19.19bus,book-chapter,1,"Linguistic & literary studies in Eastern Europe, LLSEE",Software Engineering Research,,,0,,Taxonomy (biology); Computer science; Biology; Zoology
0000-0002-2950-0864,W184189210,Syntactic Calculus and Pregroups,2003,2003-01-16,https://doi.org/10.1201/9780203009642.pt3,book-chapter,0,Topics in computer mathematics,"Logic, programming, and type systems; Logic, Reasoning, and Knowledge; semigroups and automata theory",,,0,,Calculus (dental); Computer science; Mathematics; Medicine
0000-0002-2950-0864,W2056565149,Concerning the Axioms of Ackermann's Set Theory,1985,1985-01-01,https://doi.org/10.1002/malq.19850310107,article,0,Mathematical logic quarterly,"Advanced Algebra and Logic; Philosophy and Theoretical Science; Logic, Reasoning, and Knowledge",,,0,,Ackermann function; Axiom; Set theory; Foundations of mathematics; Mathematics; Set (abstract data type); Rank (graph theory); Mathematical economics; Computer science; Combinatorics; Mathematics education; Programming language
0000-0002-2950-0864,W2154557577,"Michael Sipser, Wprowadzenie do teorii obliczeń",2011,2011-12-01,https://doi.org/10.14708/wm.v47i2.185,article,0,Wiadomości Matematyczne,Structural Engineering and Materials Analysis; Mining and Industrial Processes,,,0,,Sociology; Art; Philosophy
0000-0002-2950-0864,W2488350826,Announcing the volume,1988,1988-01-01,https://doi.org/10.1075/llsee.25.02bus,book-chapter,0,"Linguistic & literary studies in Eastern Europe, LLSEE",,,,0,,Volume (thermodynamics); Business; Physics; Thermodynamics
0000-0002-2950-0864,W41172661,Relational logics for formalization of database dependencies,1998,1998-01-01,,article,0,,Advanced Database Systems and Queries; Service-Oriented Architecture and Web Services; Semantic Web and Ontologies,Ewa Orłowska,0000-0002-7931-2351,1,,Relational database; Computer science; Dependency theory (database theory); Database; Relational model; Functional dependency; Theoretical computer science; Programming language
0000-0002-2950-0864,W4252270221,Reviews,1976,1976-06-01,https://doi.org/10.1007/bf02120882,article,0,Studia Logica,,,,0,,Computational linguistics; Linguistics; Computer science; Natural language processing; Mathematics; Philosophy
0000-0002-2950-0864,W4299512403,On Families of Languages Generated by Categorial Grammar,1998,1998-01-01,https://doi.org/10.1163/9789004457621_004,book-chapter,0,,semigroups and automata theory; DNA and Biological Computing; Natural Language Processing Techniques,,,0,,Categorial grammar; Combinatory categorial grammar; Linguistics; Grammar; Computer science; Mathematics; Link grammar; Mildly context-sensitive grammar formalism; Head-driven phrase structure grammar; Philosophy; Emergent grammar
0000-0002-2950-0864,W4409338809,2. A formal approach to error taxonomy,1991,1991-09-13,https://doi.org/10.1075/z.51.c2,book-chapter,0,John Benjamins Publishing Company eBooks,Natural Language Processing Techniques,,,0,,Taxonomy (biology); Computer science; Ecology; Biology
0000-0002-2950-0864,W85143706,More on embeddings of residuated semigroups into algebras of binary relations.,1998,1998-01-01,,article,0,,Advanced Algebra and Logic; semigroups and automata theory; Fuzzy and Soft Set Theory,,,0,,Binary relation; Mathematics; Binary number; Semigroup; Pure mathematics; Discrete mathematics; Arithmetic
0000-0001-5712-8513,W3009272086,The role of Bitcoin on developed and emerging markets – on the basis of a Bitcoin users graph analysis,2020,2020-03-06,https://doi.org/10.1016/j.frl.2020.101489,article,39,Finance research letters,"Blockchain Technology Applications and Security; Market Dynamics and Volatility; Energy, Environment, and Transportation Policies",Jacek Mizerka; Agnieszka Stróżyńska-Szajek,0000-0001-5862-7162; 0000-0001-8611-5607,2,,Cryptocurrency; Emerging markets; Business; Monetary economics; Capital market; Stock (firearms); Stock market; Financial economics; Economics; Computer science; Finance; Computer security
0000-0001-5712-8513,W3028582020,A new family of finite Oliver groups satisfying the Laitinen Conjecture,2020,2020-07-24,https://doi.org/10.1016/j.topol.2020.107336,preprint,0,Topology and its Applications,Finite Group Theory Research; Geometric and Algebraic Topology; Advanced Algebra and Geometry,,,0,,Conjecture; Group (periodic table); Tangent; Mathematics; Fixed point; Combinatorics; Finite group; Action (physics); Pure mathematics; Physics; Geometry; Mathematical analysis
0000-0001-5712-8513,W3168930072,Wykluczanie i konstruowanie egzotycznych działań grup na sferach,2021,2021-01-01,,article,0,Adam Mickiewicz University Repository (Adam Mickiewicz University in Poznan),Business Strategy and Innovation; Social and Educational Sciences,,,0,,Chemistry
0000-0002-2392-4869,W285028880,The Philosophy of Mathematics and Logic in the 1920s and 1930s in Poland,2014,2014-01-01,https://doi.org/10.1007/978-3-0348-0831-6,book,45,Science networks,Language and Culture,,,0,,Mathematics education; Mathematics; Calculus (dental); Medicine
0000-0002-2392-4869,W2325782786,Philosophy of Mathematics,2009,2009-01-01,https://doi.org/10.5840/pjphil20093112,article,31,Polish Journal of Philosophy,"Computability, Logic, AI Algorithms; Mathematical and Theoretical Analysis",,,0,,Philosophy; Analytic philosophy; Philosophy of mathematics; Epistemology; Contemporary philosophy
0000-0002-2392-4869,W2495408489,Recursive Functions and Metamathematics,1999,1999-01-01,https://doi.org/10.1007/978-94-017-2866-9,book,25,,"Logic, programming, and type systems; Advanced Algebra and Logic",,,0,,Epistemology; Computer science; Philosophy
0000-0002-2392-4869,W4380033098,Poznań Studies in the Philosophy of the Sciences and the Humanities,1997,1997-01-01,https://doi.org/10.1163/9789004457560_028,book-chapter,7,,Language and Culture,Jerzy Pogonowski,0000-0003-3717-3661,1,,Humanities; Digital humanities; Philosophy; Library science; Sociology; Computer science
0000-0002-2392-4869,W625027354,Tarski his Polish predecessors on Truth,2008,2008-01-01,,article,5,,Language and Culture,Jan Woleński,0000-0001-7676-7839,1,,Epistemology; Philosophy
0000-0002-2392-4869,W2548400177,Biblijno-teologiczne podstawy wychowawczego posłannictwa Kościoła,1983,1983-06-30,https://doi.org/10.21852/sem.1983.08,article,3,Seminare Poszukiwania naukowe,"Theology and Canon Law Studies; Education and Cultural Studies; Catholicism, Bioethics, Media, Education",,,0,,Philosophy
0000-0002-2392-4869,W2017377492,Stanisław Piątkiewicz and the Beginnings of Mathematical Logic in Poland,1996,1996-02-01,https://doi.org/10.1006/hmat.1996.0005,article,8,Historia Mathematica,Language and Culture,,,0,,Pi; Philosophy; Mathematics; Geometry
0000-0002-2392-4869,W4250353949,On expandability of models of Peano arithmetic. I,1976,1976-12-01,https://doi.org/10.1007/bf02123406,article,10,Studia Logica,"Advanced Topology and Set Theory; Computability, Logic, AI Algorithms",,,0,,Peano axioms; Arithmetic; Second-order arithmetic; Mathematics; Algebra over a field; Discrete mathematics; Computer science; Pure mathematics
0000-0002-2392-4869,W2057828890,Philosophical reflection on mathematics in Poland in the interwar period,2004,2004-02-04,https://doi.org/10.1016/j.apal.2003.11.026,article,5,Annals of Pure and Applied Logic,Language and Culture; Polish Historical and Cultural Studies; Central European Literary Studies,,,0,,Period (music); Interwar period; Reflection (computer programming); Mathematics; Calculus (dental); Physics; World War II; Computer science; History; Medicine
0000-0002-2392-4869,W1558233928,"Review: From the Calculus to Set Theory 1630-1910. An Introductory History, by I. Grattan-Guinness",2004,2004-01-01,,article,4,Project Euclid (Cornell University),History of Science and Medicine,,,0,,Calculus (dental); Mathematics; Medicine
0000-0002-2392-4869,W4242776658,Logical investigations at the University of Poznań 1945–1955,2008,2008-01-01,https://doi.org/10.30965/9783969750605_020,book-chapter,3,,Language and Culture,Jerzy Pogonowski,0000-0003-3717-3661,1,,Computer science; Programming language
0000-0002-2392-4869,W2235277971,Euphony and Logos,1997,1997-01-01,https://doi.org/10.1163/9789004457560,book,1,,Classical Philosophy and Thought; Classical Antiquity Studies; Historical and Linguistic Studies,Jerzy Pogonowski,0000-0003-3717-3661,1,,Logos Bible Software; Art; Computer science
0000-0002-2392-4869,W2484325984,"Some Historical, Philosophical and Methodological Remarks on Proof in Mathematics",2016,2016-07-23,https://doi.org/10.1515/9781501502620-015,book-chapter,1,,"History and Theory of Mathematics; Mathematical and Theoretical Analysis; Computability, Logic, AI Algorithms",,,0,,Epistemology; Calculus (dental); Philosophy; Mathematics; Mathematics education; Medicine
0000-0002-2392-4869,W2491198274,The Status of Church’s Thesis,2006,2006-12-31,https://doi.org/10.1515/9783110325461.310,book-chapter,1,,Theology and Canon Law Studies; American Constitutional Law and Politics; Catholicism and Religious Studies,Jan Woleński,0000-0001-7676-7839,1,,History
0000-0002-2392-4869,W4239141429,2. On the History of the Philosophy of Mathematics,2018,2018-10-22,https://doi.org/10.1515/9783110468335-003,book-chapter,1,,"Philosophy and Theoretical Science; Philosophy, Science, and History; History and Theory of Mathematics",,,0,,Mathematics education; Epistemology; Philosophy; Mathematics
0000-0002-2392-4869,W892112050,"THE PRESENT STATE OF MECHANIZED DEDUCTION, AND THE PRESENT KNOWLEDGE OF ITS LIMITATIONS *",2006,2006-01-01,,article,1,Studies in Logic Grammar and Rhetoric,"Computability, Logic, AI Algorithms; AI-based Problem Solving and Planning; Logic, programming, and type systems",,,0,,State (computer science); Computer science; Mathematics; Programming language
0000-0002-2392-4869,W951942238,"Indicators, recursive saturation and expandability",1981,1981-01-01,https://doi.org/10.4064/fm-114-2-127-139,article,18,Fundamenta Mathematicae,,Laurence Kirby,0000-0001-9258-7694,1,,Mathematics; Saturation (graph theory); Pure mathematics; Topology (electrical circuits); Discrete mathematics; Combinatorics
0000-0002-2392-4869,W4240595892,On expandability of models of Peano arithmetic. II,1976,1976-12-01,https://doi.org/10.1007/bf02123407,article,9,Studia Logica,Advanced Topology and Set Theory; Mathematics and Applications; Mathematical Dynamics and Fractals,,,0,,Peano axioms; Arithmetic; Mathematics; Second-order arithmetic; Algebra over a field; Discrete mathematics; Computer science; Pure mathematics
0000-0002-2392-4869,W2082030179,Some Remarks on the Structure of Expansions,1980,1980-01-01,https://doi.org/10.1002/malq.19800263403,article,4,Mathematical logic quarterly,"Advanced Topology and Set Theory; Advanced Algebra and Logic; Logic, Reasoning, and Knowledge",,,0,,Citation; Library science; Computer science
0000-0002-2392-4869,W2058882547,TRACE EXPANSIONS OF INITIAL SEGMENTS,1984,1984-01-01,https://doi.org/10.1002/malq.19840303003,article,3,Mathematical logic quarterly,"Advanced Algebra and Logic; Logic, Reasoning, and Knowledge; Philosophy and Theoretical Science",,,0,,Citation; TRACE (psycholinguistics); Order (exchange); Library science; Mathematics; Computer science; Information retrieval; Philosophy; Linguistics
0000-0002-2392-4869,W2318534242,Mathematical Objects and Mathematical Knowledge,1996,1996-01-01,https://doi.org/10.5840/gps1996/975213,article,2,Grazer Philosophische Studien,History and Theory of Mathematics; Architecture and Art History Studies; Architecture and Computational Design,,,0,,Computer science; Epistemology; Philosophy
0000-0002-2392-4869,W4361030086,From the Mechanization of Reasoning to a Study of Human Intelligence,1995,1995-01-01,https://doi.org/10.1163/9789004457423_003,book-chapter,2,,,Witold Marciszewski,0000-0003-3384-5782,1,,Mechanization; Human intelligence; Computer science; Psychology; Artificial intelligence; Geography; Archaeology
0000-0002-2392-4869,W128955742,A contribution to nonstandard teratology,1984,1984-01-01,https://doi.org/10.1007/bfb0099395,book-chapter,1,Lecture notes in mathematics,"Philosophy, Science, and History; Mental Health and Psychiatry; Philosophy and History of Science",,,0,,Teratology; Mathematics; Pregnancy; Biology
0000-0002-2392-4869,W1521144371,"Review: Computability. Computable Functions, Logic, and The Foundations of Mathematics 2nd edition,, by Richard L. Epstein and Walter A. Carnielli, with Computability and Undecidability—A Timeline. The Story of the Development of Computable Functions and the Undecidability of Arithmetic to 1970, by Richard L. Epstein",2005,2005-01-01,,article,1,Project Euclid (Cornell University),"Computability, Logic, AI Algorithms",,,0,,Computability; Timeline; Mathematics; Computable function; Discrete mathematics
0000-0002-2392-4869,W4253522460,Reviews,1975,1975-09-01,https://doi.org/10.1007/bf02125231,article,1,Studia Logica,,Witold Marciszewski,0000-0003-3384-5782,1,,Computational linguistics; Linguistics; Computer science; Natural language processing; Philosophy
0000-0002-2392-4869,W4361030062,The Formalization of Arguments in the Middle Ages,1995,1995-01-01,https://doi.org/10.1163/9789004457423_004,book-chapter,1,,Historical Economic and Legal Thought; Historical Legal Studies and Society; Historical Studies in Science,Witold Marciszewski,0000-0003-3384-5782,1,,Middle Ages; History; Epistemology; Philosophy; Ancient history
0000-0002-2392-4869,W4361030080,Between Leibniz and Boole: Towards the Algebraization of Logic,1995,1995-01-01,https://doi.org/10.1163/9789004457423_006,book-chapter,1,,History and Theory of Mathematics; Wittgensteinian philosophy and applications; Advanced Algebra and Logic,Witold Marciszewski,0000-0003-3384-5782,1,,Mathematics; Calculus (dental); Algebra over a field; Pure mathematics; Medicine
0000-0002-2392-4869,W4361030122,Leibniz’s Idea of Mechanical Reasoning at the Historical Background,1995,1995-01-01,https://doi.org/10.1163/9789004457423_005,book-chapter,1,,Historical Philosophy and Science; Mechanics and Biomechanics Studies,Witold Marciszewski,0000-0003-3384-5782,1,,Epistemology; Philosophy
0000-0002-2392-4869,W1026073716,O pojęciu prawdy w matematyce,2011,2011-01-01,,article,0,Zagadnienia Naukoznawstwa,Language and Culture,,,0,,Mathematics
0000-0002-2392-4869,W1479808578,"Review of Anita Burdman Feferman, Politics, Logic, Love: The Life of Jean van Heijenoort",1995,1995-04-01,,article,0,Project Euclid (Cornell University),Pragmatism in Philosophy and Education,,,0,,Politics; Philosophy; Mathematics; Epistemology; Law; Political science
0000-0002-2392-4869,W1501436764,"Review of Martin Goldstern and Haim Judah, The Incompleteness Phenomenon: A New Course in Mathematical Logic",1997,1997-07-01,,article,0,Project Euclid (Cornell University),"Mathematical and Theoretical Analysis; History and Theory of Mathematics; Logic, Reasoning, and Knowledge",,,0,,Phenomenon; Course (navigation); Computer science; Mathematics; Epistemology; Arithmetic; Mathematical economics; Philosophy; Physics
0000-0002-2392-4869,W1508294549,"Review of Raymond Turner, Truth and modality for knowledge representation",1992,1992-10-01,,article,0,Project Euclid (Cornell University),Semantic Web and Ontologies; Cognitive Science and Education Research,,,0,,Modality (human–computer interaction); Representation (politics); Cognitive science; Psychology; Artificial intelligence; Epistemology; Philosophy; Computer science; Political science
0000-0002-2392-4869,W1514392804,Kurt Gödel (1906-1978),2017,2017-09-11,https://doi.org/10.14708/wm.v42i01.5041,article,0,Wiadomości Matematyczne,Philosophy and History of Science,,,0,,Humanities; Philosophy
0000-0002-2392-4869,W1527452494,"Review: Knowledge Contributors, edited by Vincent F. Hendricks, Klaus Frovin Jørgensen and Stig Andur Pedersen",2005,2005-01-01,,article,0,Project Euclid (Cornell University),Semantic Web and Ontologies; Library Science and Information Systems,,,0,,Humanities; Philosophy
0000-0002-2392-4869,W1545412920,"Review of Alfred Tarski, Introduction to Logic and to the Methodology of the Deductive Sciences",2000,2000-01-01,,article,0,Project Euclid (Cornell University),"Logic, Reasoning, and Knowledge; Advanced Algebra and Logic; Semantic Web and Ontologies",,,0,,Deductive reasoning; Epistemology; Computer science; Philosophy
0000-0002-2392-4869,W1546998711,"Bartosz Brożek, Mateusz Hohol, Umysł matematyczny",2015,2015-01-09,https://doi.org/10.14708/wm.v50i1.679,article,0,Wiadomości Matematyczne,Language and Culture; Central European Literary Studies; Polish Historical and Cultural Studies,,,0,,Philosophy
0000-0002-2392-4869,W1562580933,"Computability. Computable Functions, Logic, and the Foundations of Mathematics, 2nd edition, by R. L. Epstein and W. A. Carnielli",2007,2007-01-01,,article,0,Project Euclid (Cornell University),"Computability, Logic, AI Algorithms",,,0,,Computability; Computer science; Computable analysis; Calculus (dental); Mathematics; Programming language; Discrete mathematics; Medicine
0000-0002-2392-4869,W1567220187,Michał Krynicki (1950–2011),2013,2013-07-18,https://doi.org/10.14708/wm.v49i1.452,article,0,Wiadomości Matematyczne,Language and Culture; Botany and Plant Ecology Studies,Marian Turzański,0000-0002-3700-2558,1,,Computer science
0000-0002-2392-4869,W1585579321,"Review of Development of Mathematics 1900--1950, edited by Jean-Paul Pier",1996,1996-10-01,,article,0,Project Euclid (Cornell University),History and Theory of Mathematics; Mathematics and Applications; Mathematical and Theoretical Analysis,,,0,,Pier; Development (topology); Mathematics education; Classics; Mathematics; Philosophy; Art; Geography; Archaeology; Mathematical analysis
0000-0002-2392-4869,W1587031498,Contributions of Polish logicians to decidability theory,1996,1996-01-01,,article,0,Project Euclid (Cornell University),"Computability, Logic, AI Algorithms; Logic, Reasoning, and Knowledge; Rough Sets and Fuzzy Logic",,,0,,Decidability; Philosophy; Mathematics; Linguistics; Discrete mathematics
0000-0002-2392-4869,W1587317269,"Review of Perspectives on the History of Mathematical Logic, ed. Thomas Drucker",1993,1993-06-01,,article,0,Project Euclid (Cornell University),History and Theory of Mathematics,,,0,,Cognitive science; Philosophy; Mathematical economics; Mathematics; Artificial intelligence; Computer science; Psychology
0000-0002-2392-4869,W1596563224,"Review: The Universal History of Computing. From the Abacus to the Quantum Computers, by Georges Ifrah, translated from French and with notes by E. F. Harding",2005,2005-01-01,,article,0,Project Euclid (Cornell University),"Computability, Logic, AI Algorithms",,,0,,Abacus (architecture); History of computing; Computer science; History; Algorithm; Archaeology
0000-0002-2392-4869,W1606293737,Paweł Zbierski (1944–2002),2011,2011-12-01,https://doi.org/10.14708/wm.v47i2.182,article,0,Wiadomości Matematyczne,Botany and Plant Ecology Studies,,,0,,Philosophy
0000-0002-2392-4869,W1940647046,"Review of Joseph Warren Dauben, Abraham Robinson: The Creation of Nonstandard Analysis, A Personal and Mathematical Odyssey",2000,2000-01-01,,article,0,Project Euclid (Cornell University),Mathematical and Theoretical Analysis; History and Theory of Mathematics; Pragmatism in Philosophy and Education,,,0,,Art history; Philosophy; Art
0000-0002-2392-4869,W1951425744,6. Infinitesimal denken und rechnen,2019,2019-06-17,https://doi.org/10.1515/9783110546989-007,book-chapter,0,,"Philosophy, Science, and History; Religion, Theology, and Education; Historical Philosophy and Science",,,0,,Philosophy; Infinitesimal; Mathematics; Mathematical analysis
0000-0002-2392-4869,W1981846077,"Jan Woleński, Essays on Logic and its Applications in Philosophy",2012,2012-01-01,https://doi.org/10.5840/pjphil2012619,article,0,Polish Journal of Philosophy,Language and Culture,,,0,,Philosophy
0000-0002-2392-4869,W1991835282,A note on the variety of satisfaction classes,1990,1990-03-01,https://doi.org/10.1007/bf01634978,article,0,Archive for Mathematical Logic,Multi-Criteria Decision Making; Advanced Algebra and Logic; graph theory and CDMA systems,,,0,,Variety (cybernetics); Mathematics; Algebra over a field; Mathematics education; Pure mathematics; Statistics
0000-0002-2392-4869,W1999360562,A correction to the paper “On expandability of models of Peano arithmetic. I”,1977,1977-09-01,https://doi.org/10.1007/bf02121269,article,0,Studia Logica,History and Theory of Mathematics; Advanced Topology and Set Theory,,,0,,Peano axioms; Arithmetic; Mathematics; Algebra over a field; Second-order arithmetic; Computational linguistics; Discrete mathematics; Computer science; Pure mathematics; Natural language processing
0000-0002-2392-4869,W2032973175,Some More Remarks on Expandability of Initial Segments,1986,1986-01-01,https://doi.org/10.1002/malq.19860322510,article,0,Mathematical logic quarterly,"Advanced Algebra and Logic; Logic, Reasoning, and Knowledge; Advanced Topology and Set Theory",,,0,,Countable set; Citation; Annals; Order (exchange); Mathematics; Library science; Algebra over a field; Classics; Computer science; Combinatorics; History; Pure mathematics
0000-0002-2392-4869,W204568039,Kilka słów o dowodzie w matematyce,2013,2013-01-01,,article,0,Filozofia Nauki,Integrated Water Resources Management,,,0,,Philosophy
0000-0002-2392-4869,W2054478443,Appendix to the paper “Definable sets and expansions of models of Peano arithmetic”,1990,1990-03-01,https://doi.org/10.1007/bf01634979,article,0,Archive for Mathematical Logic,"Advanced Topology and Set Theory; Computability, Logic, AI Algorithms",,,0,,Peano axioms; Mathematics; Second-order arithmetic; Arithmetic; Algebra over a field; Discrete mathematics; Pure mathematics
0000-0002-2392-4869,W2139473671,Some Properties of the Family of Expansions to Models of A/Δ + Σ‐AC,1991,1991-01-01,https://doi.org/10.1002/malq.19910371703,article,0,Mathematical logic quarterly,"Advanced Algebra and Logic; Logic, Reasoning, and Knowledge",,,0,,Peano axioms; Axiom; Hierarchy; Mathematics; Citation; Algebra over a field; Discrete mathematics; Computer science; Library science; Pure mathematics; Law; Political science
0000-0002-2392-4869,W2148105445,Henryk Kotlarski (1949–2008),2011,2011-07-24,https://doi.org/10.14708/wm.v45i1.75,article,0,Wiadomości Matematyczne,Botany and Plant Ecology Studies,,,0,,Philosophy
